,会社名,給与,初年度年収
16,株式会社クロード | ★上場企業のグループ会社 ★有給推奨 ★サービス残業一切なし,月給24万円以上 + 賞与年2回 ＋ 交通費支給 ★経験者の方は前職給与を最大限考慮して決定します ★未経験…,300万円～450万円
17,住吉工業グループ合同募集 | ＼ 宅地建物取引士の資格者は月給30万円～60万円スタート！／,月給22万円〜60万円＋各種諸手当＋賞与 【1級土木施工管理・宅地建物取引士の資格者】 月給30万円〜60万…,430万円～850万円
18,株式会社Provigent | ★未経験者70％以上 ★コロナ対策万全 ★入社祝い金10万円！,月給25万円〜 ※20時間分のみなし残業手当(3万円)含む。超過分は別途支給 ※みなし残業代は法律の割増率…,300万円～700万円
19,ソフトバンク営業職合同募集 | 【条件満たす方全員、電話面談確約】★大阪府緊急雇用対策に賛同,【東京】 月給25万円~40万円＋インセンティブ 【北海道】 月給21万円~25万円＋インセンティブ 【東北】…,不明
20,株式会社グロリアース | ★転職回数・年齢不問　★アポインターにもインセンティブあり,月給23万円以上 ※上記に別途諸手当、インセンティブが支給されます ※年齢、経験、能力を考慮の上、優…,不明
21,株式会社アウトソーシングテクノロジー | SS事業本部ｌ東証一部上場企業グループ／土日祝休み／残業少なめ,"◆月給208,000円以上＋各種手当・報奨金 ※前職給与や経験・スキルなどを考慮し加給・優遇します。 ※上…",250万円～450万円
22,ソフトバンク営業職合同募集 | 【条件満たす方全員、電話面談確約】★大阪府緊急雇用対策に賛同,【東京】 月給25万円~40万円＋インセンティブ 【北海道】 月給21万円~25万円＋インセンティブ 【東北】…,不明
23,ソフトバンク合同募集 | 【条件満たす方全員、電話面談確約】★大阪府緊急雇用対策に賛同,"【関　東】 月給185,000円〜255,000円 「月収例36万円(入社1年目)」 【北海道】 月給180,000円〜230,000…",300万円～400万円
24,ソフトバンク合同募集 | 【条件満たす方全員、電話面談確約】★大阪府緊急雇用対策に賛同,"月給200,000円以上 「月収例36万円(入社1年目)」 ※上記はあくまでも低保障額となります。 　経験・能力…",300万円～400万円
25,エフエルシープレミアム株式会社 | 【大阪府緊急雇用対策に賛同】東証二部上場企業のグループ！,"月給23万5000円以上 + 毎月インセンティブ ＋ 各種手当 ※固定残業代（5万8,280円以上/45時間相当）含む…",400万円～1000万円
26,株式会社アウトソーシングテクノロジー | #手に職をつける#将来の可能性を広げる#業績好調#WEB面接可,◇月給20万円〜45万円＋一律手当＋賞与年2回 ※スキル・経験年数・年齢等を考慮し話し合いの上、優遇しま…,280万円～600万円
27,株式会社エージェントゲート | ★有給取得率100％★産休育休取得＆復帰率100％★定着率90％超★,月給22〜30万円 ※上記には一律のみなし残業手当が含まれています。 ※30時間分／4万円以上 ⇒みなし残…,264万円～600万円
28,株式会社ボードルア | ★残業ほぼなし★完全週休2日(年休125日以上)★オフィスは六本木,月給20万7000円〜50万円＋賞与＋交通費＋残業手当+その他手当 【給与とは別に資格手当もあります！】 CC…,300万円～700万円
29,株式会社ベネフィット・ワン | 【東証一部上場】愛媛県松山市で快適なオフィスワーク！転勤なし,"【月給】190,034円〜250,027円+諸手当 ※上記はあくまでも最低保証額です。 ※月給に15時間分の固定残業…",275万円～360万円
30,株式会社Provigent | ★抗体検査などコロナ対策万全 ★入社祝い金10万円！,【東京】 月給22万円〜+諸手当(時間外手当、住宅手当、育児サポート制度など) ※20時間分のみなし残業手…,300万円～700万円
31,ソリマチ株式会社,"月給26万円〜30万円（固定残業代5万4,000円〜5万6,000円／月30時間分を含む、超過分は別途支給） ※能力…",不明
32,株式会社サイバー・コミュニケーションズ | 【cyber communications inc.】＜電通グループ＞,"月給235,000円〜430,000円 ※経験や能力を考慮の上決定 ※固定残業代（20時間分、月29,375円〜53,750円）…",415万円～705万円
33,株式会社メディア工房 | 東証マザーズ上場★Web占いコンテンツで業界トップクラスの実績,"月給28万円以上 ※試用期間6ヵ月（待遇面の変更はありません） ※月45時間相当の見込み残業手当（72,200…",300万円～500万円
34,株式会社アソウ・ヒューマニーセンター | ［麻生グループ］全国規模で多角的な事業を展開する安定成長企業,月給18万円〜35万円 ※年齢、経験、能力などを考慮の上、 　当社規定により決定します。 ※試用期間3ヵ…,350万円～480万円
35,株式会社ケーアイエス | ☆医療×IT分野のリード企業／国家事業にも参画／年間休日120日,月給20万円〜50万円　 ※経験・能力等を考慮の上、優遇いたします。 ※試用期間あり（6ヶ月／待遇に変更…,400万円～900万円
36,株式会社アウトソーシングテクノロジー | SS事業本部ｌ東証一部上場企業グループ／土日祝休み／残業少なめ,"◆月給220,000円以上＋各種手当・報奨金 ※上記金額は35時間の固定残業代（月46,935円以上）を含み、超過…",250万円～450万円
37,株式会社サイバー・コミュニケーションズ | 【cyber communications inc.】＜電通グループ＞,"月給300,000円〜400,000円 ※経験や能力を考慮の上決定 ※固定残業代（20時間分、月37,500円〜月50,000円…",515万円～659万円
38,株式会社アイエスエフネット | 《 育成枠採用をSTART！ 》★残業平均月7.4h ★年間休日125日,◆月給24.5万円〜＋インセンティブ賞与・諸手当 ※経験・スキルを考慮し決定します。 ※上記月給にはみな…,294万円～600万円
39,株式会社グロリアース | 《 福岡本社（福岡市）積極採用中 》幅広い年齢層が活躍中です★,月給23万円〜 ＋ 諸手当 ＋ インセンティブ ★1年目の平均月収40万 ※成約額の7%以上をインセンとして支…,不明
40,株式会社グラスト | ★会社作りに一から携われる★20代中心に活躍中★定着率ほぼ100%,未経験者：月給22万円〜25万円 法人営業経験者：月給25万円〜35万円,300万円～450万円
41,株式会社ベルクリック | <全員面接>年休127日／服装髪型自由／週休3日orキャリアアップ,★キャリアパスコース★ 月給：23万円〜＋インセンティブ ★ライフワークデザインコース★ 月給：20万円…,不明
42,株式会社ルーク | 【高い定着率】転勤なし／残業少なめ／完全週休2日制（土日）,"月給：21万円以上 + 残業代全額支給 + 賞与年2回 ［月収例］月収258,000円（入社1年目／配偶者あり） ※…",不明
43,株式会社不二宮製作所 | 【 電話問い合わせもOK！「0968-68-1318」】★IUターン大歓迎！,日給月給25万円〜33万円 + 諸手当 ※これまでの経験、能力、意欲を最大限考慮し、 　最大3万円の特別手当…,不明
44,株式会社カズテクニカ | 世界トップクラスの企業と取引多数◆年休120日以上◆賞与年2回,月給20万〜30万円 ※年齢・能力を考慮の上決定いたします。 ※能力に応じて上記以上の加給もございます。…,300万円～450万円
45,ヒカリラインサービス株式会社 | 土日祝休み/年間休日130日/有給消化100％/頑張りも給与へ還元◎,【月給】23万円〜(一律営業手当含む)＋各種手当＋インセンティブ ※上記には固定残業代2万100円〜／12時…,350万円～600万円
46,社会医療法人財団白十字会 | 〈佐世保中央病院〉◎創業92年の歴史ある病院を経営面から支える,月給18万8000円〜 + 諸手当 ※上記はあくまで最低保証額です。 　年齢、経験、能力を考慮の上、優遇しま…,300万円～400万円
47,株式会社シフト | ☆大手飲料メーカーやメガバンクと直取引☆資格取得支援も充実,月給20万円〜＋賞与2回＋決算賞与 ※前職、経験、能力を最大限考慮し、支給額を決定致します。 ※試用期…,300万円～600万円
48,株式会社okicom | 沖縄本社 | 官公庁・民間企業に向けたIT関連の総合コンサル企業,月給25万円以上　＋諸手当 ※年齢、経験、能力を考慮の上、優遇します。 ※待遇条件の詳細については、…,不明
49,株式会社ビーキャップ | 土日祝休み・年間休日130日・有給消化率8割以上・残業月20H以内,月給25万円 〜 30万円 + 賞与※昨年度実績2カ月分 ※年齢・経験・スキルを十分考慮の上、当社規定により…,350万円～450万円
50,株式会社4COLORS | 残業ほぼナシ｜完全週休2日(土日)＆年間休日120日以上｜転勤なし,月給：25万円〜40万円 ※別途、交通費を全額支給します。 ※経験・能力・前給を考慮の上、決定いたしま…,300万円～500万円
51,四国開発建設株式会社 | 《JR四国グループ》／完全週休2日（土日祝）／転勤なし／面接1回,月給：18万円以上+各種諸手当 ※年齢、経験、能力を考慮の上、優遇いたします。 ※資格手当や家族手当な…,不明
52,株式会社浜屋 | 【国内・海外で広く展開する優良企業】※茨城支店限定採用,月給20万円〜25万円+ 残業・住宅手当ほか + 賞与年2回(前年度実績=4.5ヵ月分) ※経験・能力を考慮して決…,300万円～400万円
53,東通インテグレート株式会社 | 月給30万円～／週休2日制／福利厚生も充実♪,月給：30万円〜50万円 ※年齢、経験、能力を考慮の上、優遇いたします。 ※固定残業代20時間相当分(4万円…,350万円～600万円
54,株式会社アースネット | ”進化する携帯電話と歩み続け、人々の為になる”,月給20万2000円〜＋各種手当+残業代別途支給 ※大卒1年目を想定。 ※経験者は上記より優遇あり。 月給17…,不明
55,株式会社シフト | ☆大手飲料メーカーやメガバンクと直取引☆資格取得支援も充実,月給20万円〜＋賞与2回＋決算賞与 ※前職、経験、能力を最大限考慮し、支給額を決定致します。 ※試用期…,300万円～600万円
56,株式会社アイルネット | 2021年秋に銀座に新規オープン/新規立ち上げによるの募集です！,月給40万円以上,不明
57,リーフラス株式会社 | 新規教育プロジェクト:小学校部活動支援事業 ★残業月18時間程度,月給22万6000円以上＋諸手当＋賞与 ※上記はあくまで最下限の給与となります。あなたの経験やスキルを考…,300万円～450万円
58,株式会社エスケーアイ | 設立30年、コロナ禍で過去最高益を達成！年収UPメンバー多数★,"月給21万1,000円以上＋各種手当＋賞与年2回 ※年齢・経験などを十分に考慮の上、決定します。 ※上記は…",300万円～450万円
59,株式会社PPFパートナーズ | ★年間休日125日★残業月平均10時間★完全週休2日制★,月給40万円〜60万円 ※経験・年齢・能力・前職の給与などを最大限考慮の上、決定します。 ※上記給与には…,480万円～720万円
60,LIVE株式会社 | 選考に関係なく『まずは話を聞いてみたい』方も、もちろんOK◎,月給18万円〜20万円 ※経験、能力、年齢に応じて金額を決定します。 ※試用期間6ヶ月あり（期間中の待遇…,250万円～300万円
61,SBモバイルサービス株式会社 | 《 009-fuku-sb-cs 》,"月給178,200円〜202,500円 + 諸手当 ※待遇・シフトの詳細については、 　面接などでお問い合わせくださ…",不明
62,日栄無線株式会社 | ★週休2日 ★残業ほぼなし ★17時に帰れる夕活制度あり,月給27万〜35万円+諸手当+賞与年2回(前年実績計4ヵ月分) ※一律手当含む。残業代は別途支給。 ※試用期…,不明
63,株式会社オールウィン | 事務代行(シェアード)事業を展開し、顧客企業の働き方改革を支援,月給20万円以上 ◎能力・経験に応じ、弊社規定に準じて決定 ◎試用期間あり（3か月・待遇変化なし）,不明
64,イーディーピーアシスタント株式会社 | 売上5期連続増益の安定企業◎正社員デビュー歓迎！転勤なし,月給20万円〜25万円 ※経験・能力等を考慮の上、決定いたします ※試用期間6ヶ月あり（期間中の待遇変更…,250万円～350万円
65,株式会社アーネラ | 【占いコンテンツを軸に成長中】★産休・育休の取得実績あり,月給25万円+賞与（年2回） ※給与は経験・能力により決定します ※上記給与には固定残業代（35時間分）6…,不明
66,株式会社インコス | 創業30周年を迎え更なる飛躍を目指して増員募集！,"月給23万〜55万円 ※経験・能力を考慮の上、決定します。 ★入社祝金制度あり/入社3ヶ月後20,000円支給 …",270万円～320万円
67,株式会社浜屋 | 【全国17店舗を展開】絶対安定！世の中に欠かせないリサイクル業,月給20万円〜25万円+ 残業・住宅手当ほか + 賞与年2回(前年度実績=4.5ヵ月分) ※経験・能力を考慮して決…,300万円～400万円
68,株式会社H・O・C,"月給20万円〜 ※固定残業代55,000円を含む（45時間分／超過分は別途支給） ※年齢・経験を考慮の上、当社…",250万円～300万円
69,株式会社大宅通信 | 【愛知(豊川・岡崎)積極募集中！】完全週休2日制／各種研修充実,月給20万5000円以上 ※経験・能力を考慮の上決定致します ※試用期間3〜6ヶ月あり（インセンティブの支…,350万円～500万円
70,株式会社オールウィン | 事務代行（シェアード）事業を展開中｜大阪府緊急雇用対策に賛同,月給20万円以上 ◎能力・経験に応じ、弊社規定に準じて決定 ◎試用期間あり（3か月・待遇変化なし）,不明
71,株式会社アイルネット | 創業48年＊正規代理店＊福利厚生充実＊au/SoftBank/Y!mobile等,◆未経験者：月給20円〜26万円＋残業代+諸手当+資格手当(1万円〜6万円） ◆経験者の方は前職の給料を保証…,280万円～500万円
72,LIVE株式会社 | ■選考に関係なく『話だけ聞く！』でもOK！■WEB面接も実施中！,月給25万円〜 ※経験、能力、年齢に応じて金額を決定します。 ※上記月給に固定残業代1万5千円〜／10時間…,330万円～500万円
73,株式会社ベネフィット・ワン | 「2020年 健康経営優良法人ホワイト500」選出☆東証一部上場企業,月給26万円〜 ※経験や能力を考慮の上、決定いたします。 ※上記に加え、年間10万円相当分のカフェテリ…,不明
74,株式会社グロリアース | ★転職回数・マネジメント不問　★業績好調！環境事業で成長中,月給／23万円〜 ＋ 諸手当 ＋ インセンティブ ※年齢、経験、能力を考慮の上、優遇します。 ※試用期間…,不明
75,株式会社アクティネットワーク社 | 若手スタッフが最前線で活躍中！個人の自発性をチームで支えます,月給20万円 〜 35万円 + 諸手当 ※年齢、経験、能力を考慮の上、優遇します。 ※最長6ヶ月間の試用期間…,不明
76,株式会社ユニキャスト | IT、ロボット…etc. 茨城から世界に挑戦するITベンチャー！,【月給】25万円以上+諸手当＋賞与年2回 ※経験やスキルに応じて当社規定により決定します。 ※試用期間6…,350万円～550万円
77,株式会社ベネフィット・ワン | 【東証1部上場企業/パソナグループ】新サービス本格展開スタート,月給25万円以上 ※経験や能力を考慮の上、決定いたします。 ※上記に加え、年間30万円相当分のカフェテ…,400万円～700万円
78,株式会社トップ・シム | マイナビ転職初掲載｜関西エリア限定募集｜残業ほぼなし,月給33万円〜 + 交通費など ※上記はあくまで最低保証額です。 　年齢、経験、能力を考慮の上、優遇しま…,390万円～700万円
79,日本ネットワークコミュニケーションズ株式会社 | 大阪府緊急雇用対策に賛同◆年休120日◆髪型・服装・ネイル自由,月給20〜25万円 ※年齢・スキル等を考慮の上決定 ※試用期間3ヶ月（試用期間中：月給20万円） 　その他待…,250万円～300万円
80,インベントグループ株式会社 | 【2021年7月20日】協業したもみじ銀行店舗内に、青葉台教室移転,月給24万円〜51万円 （設立12年目にして、当社教室長・幹部平均給与額は月給27.8万円。 会社への貢献度…,350万円～450万円
81,株式会社クリエイティブエンタテインメント | <数々の作品を世に送り出してきた成長企業>★平均28歳,"■完全歩合制（1ページ 2,000円で、担当したページ数によって変動）",不明
82,株式会社ジャパンエニックス | 業界トップクラスの実績★年休127日,月給／月給20万円以上 ※経験・年齢を考慮の上、当社規定により優遇します。 ※試用期間3か月あり 期間中…,300万円～600万円
83,正和工業株式会社 | 《福岡ソフトバンクホークスオフィシャルスポンサー》家賃補助有,月給40万〜85万円 ＋ 賞与(昨年度実績4ヶ月分) ※経験・年齢・スキル・資格を考慮の上、当社規定により…,600万円～1200万円
84,株式会社トリプルアイズ | 業績拡大｜企業画像認識プラットフォームや顔認証システムを開発,"月給：330,000円〜500,000円(以下一律手当を含む) ※固定残業手当は月40時間分、78,600円〜119,050円を支…",400万円～600万円
85,株式会社ニチコム | 長期休暇や子育て社員制度など、先進的な取り組みを推進中！,【月給】20万〜42万円+諸手当 ※前職の給与等を考慮のうえ、当社規定により決定します。 ※上記月給には…,320万円～600万円
86,正和工業株式会社 | ★福岡ソフトバンクホークスオフィシャルスポンサー★福利厚生◎,月給35万〜50万円 ※経験・年齢・スキル・資格を考慮の上、当社規定により優遇します ※上記は45時間分…,500万円～700万円
87,Fixel 株式会社 | デザインと技術で顧客のシステム構築をサポートする専門家集団,年俸300万円〜1000万円 ※試用期間3カ月,300万円～1000万円
88,株式会社ベルパーク | ★くるみんマーク取得★年間休日116日★平均年収487万円,"◆月給23万円〜32万2,000円＋時間外手当 ※上記給与は、地域によって異なります ※時間外手当は別途全額…",400万円～600万円
89,正和工業株式会社 | ★福岡ソフトバンクホークスオフィシャルスポンサー★福利厚生◎,月給35万〜50万円 ※経験・年齢・スキル・資格を考慮の上、当社規定により優遇します ※上記は45時間分…,500万円～700万円
90,株式会社マイクロアド | 【サイバーエージェントグループ】★住宅手当あり,◆月給：33.3万円〜50万円 ※ご経験・スキルに応じて決定致します。 ※年2回給与査定あり。 ※固定残…,400万円～600万円
91,株式会社スタイルワン | 【大手企業と多数取引】完全週休2日★服装自由★20～30代活躍中,"【月給】200,000円〜300,000円 ⇒年収はご年齢・ご経験を考慮の上、決定いたします。 ※時間外手当とし…",240万円～360万円
92,株式会社スタイルワン | 【大手企業と多数取引】★年休120日以上★土日祝休★完全週休2日,"【月給】200,000円〜300,000円 ⇒年収はご年齢・ご経験を考慮の上、決定いたします。 ※時間外手当とし…",240万円～360万円
93,株式会社スタイルワン | 【大手企業と多数取引】★年休120日以上★土日祝休★完全週休2日,"【月給】200,000円〜350,000円 ⇒年収はご年齢・ご経験を考慮の上、決定いたします。 ※時間外手当とし…",240万円～420万円
94,株式会社スタイルワン | 【大手企業と多数取引】★完全週休2日/年休120日以上/賞与年2回,"【月給】200,000円〜300,000円 ⇒年収はご年齢・ご経験を考慮の上、決定いたします。 ※時間外手当とし…",240万円～360万円
95,株式会社エーアイ | <東証マザーズ上場>★pepper、マツコロイドの声を作る成長企業！,■月給25万円〜（一律手当含む） ※経験・能力を考慮し、決定します ※試用期間3ヵ月あり（期間中の待遇…,300万円～800万円
96,株式会社スタイルワン | 【大手企業と多数取引】★年休120日以上★土日祝休★完全週休2日,"【月給】200,000円〜300,000円 ⇒年収はご年齢・ご経験を考慮の上、決定いたします。 ※時間外手当とし…",300万円～360万円
97,株式会社エーアイ | <東証マザーズ上場>★pepper、マツコロイドの声を作る成長企業！,■月給25万円〜（一律手当含む） ※経験・能力を考慮し、決定します ※試用期間3ヵ月あり（期間中の待遇…,300万円～800万円
98,株式会社ウィルコミュニケーションズ | ＜現年収保障/充実のインセンティブ制度あり＞,"＜月給＞275,000円〜(一律手当を含む) ◎現年収保障を半年間お付けいたします。 ※経験・スキルを考慮の…",350万円～600万円
99,株式会社ネクサスウィング | ◆年休120日／完全週休2日制(土日)／賞与年2回／在宅勤務も！,月給25万円〜35万円 ※経験・スキル等を考慮して決定します。 ※試用期間6ヶ月あり（その間の待遇変動な…,380万円～500万円
100,株式会社ネクサスウィング | ◆年休120日／完全週休2日制(土日)／賞与年2回／在宅勤務も！,月給25万円〜35万円 ※経験・スキル等を考慮して決定します。 ※試用期間6ヶ月あり（その間の待遇変動な…,380万円～500万円
101,株式会社パーフェクション | 【仕事に全集中！】職場環境・福利厚生が充実した職場！,"月給250,000円〜400,000円＋歩合給 ※試用期間2ヶ月　※待遇変更なし ※経験・スキルを考慮して優遇しま…",336万円～500万円
102,株式会社ダンク | ◎auショップ・ソフトバンクショップを展開★賞与年3回,月給22万円以上＋諸手当＋賞与年3回 ※上記は固定残業代（2万8000円／20時間分）を含んでいます。超過分…,不明
103,株式会社ベイシア | 流通技術研究所【ベイシア/カインズ/ワークマンなど全国に展開】,"【月給】20万6,000円〜41万2,000円＋諸手当 ※前職での経験や能力を考慮の上、当社規定により決定します…",350万円～700万円
104,株式会社ベイシア | 流通技術研究所【ベイシア/カインズ/ワークマンなど全国に展開】,"【月給】20万6,000円〜41万2,000円＋諸手当 ※前職での経験や能力を考慮の上、当社規定により決定します…",350万円～700万円
105,株式会社ベイシア | 流通技術研究所【ベイシア/カインズ/ワークマンなど全国に展開】,"【月給】206,000円〜412,000円 ＜予定年収＞ 350万円〜700万円(残業手当：有) ※前職での経験や能力を考…",350万円～700万円
106,株式会社ベイシア | 流通技術研究所【ベイシア/カインズ/ワークマンなど全国に展開】,"【月給】20万6,000円〜41万2,000円＋諸手当 ※前職での経験や能力を考慮の上、当社規定により決定します…",350万円～700万円
107,株式会社ベイシア | 流通技術研究所【ベイシア/カインズ/ワークマンなど全国に展開】,"【月給】20万6,000円〜58万円＋諸手当 ※前職での経験や能力を考慮の上、当社規定により決定します。 ※…",350万円～1000万円
108,株式会社ベイシア | 流通技術研究所【ベイシア/カインズ/ワークマンなど全国に展開】,"【月給】20万6,000円〜41万2,000円＋諸手当 ※前職での経験や能力を考慮の上、当社規定により決定します…",350万円～700万円
109,株式会社メディアテック一心 | softbankと提携／転勤の有無選択可／完全週休2日制（土日祝）,"月給 185,000円〜300,000円＋諸手当 ※上記はあくまで最低保証額です。 　年齢、経験、能力を考慮の上、…",250万円～456万円
110,日本ソフトウェアコンサルタンツ株式会社 | 【100％自社内開発／ユーザーと直接やりとり】☆年間休日123日,月給29万円以上＋諸手当＋賞与年2回 ※年齢・経験・スキルを十分考慮の上、当社規定により優遇いたします…,不明
111,株式会社メディアテック一心 | 【一心グループ】softbankと提携／残業月平均20時間以内,"月給 185,000円〜300,000円＋諸手当 ※上記はあくまで最低保証額です。 　年齢、経験、能力を考慮の上、…",250万円～456万円
112,株式会社メディアテック一心 | 【一心グループ】softbankと提携／残業月平均20時間以内,"月給 185,000円〜300,000円＋諸手当 ※上記はあくまで最低保証額です。 　年齢、経験、能力を考慮の上、…",250万円～456万円
113,株式会社メディアテック一心 | 【一心グループ】softbankと提携／残業月平均20時間以内,"月給 185,000円〜300,000円＋諸手当 ※上記はあくまで最低保証額です。 　年齢、経験、能力を考慮の上、…",250万円～456万円
